***
TEST CASE 1
MIN SUPPORT : 50
MIN CONFIDENCE : 30
Number of rules:  683
('maint', 'vhigh')(count : 432) ----------------->('persons', '2')(count : 576)0.3333333333333333
('buying', 'high')(count : 432) ----------------->('persons', '4')(count : 576)0.3333333333333333
('buying', 'high')(count : 432) ----------------->('persons', '4')(count : 576)0.3333333333333333
('buying', 'high')(count : 432) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('buying', 'high')(count : 432) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('buying', 'med')(count : 432) ----------------->('persons', '2')(count : 576)0.3333333333333333
('buying', 'med')(count : 432) ----------------->('persons', '2')(count : 576)0.3333333333333333
('buying', 'med')(count : 432) ----------------->('persons', '4')(count : 576)0.3333333333333333
('buying', 'med')(count : 432) ----------------->('persons', '4')(count : 576)0.3333333333333333
('buying', 'med')(count : 432) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('buying', 'med')(count : 432) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('buying', 'low')(count : 432) ----------------->('persons', '2')(count : 576)0.3333333333333333
('buying', 'low')(count : 432) ----------------->('persons', '2')(count : 576)0.3333333333333333
('buying', 'low')(count : 432) ----------------->('persons', '4')(count : 576)0.3333333333333333
('buying', 'low')(count : 432) ----------------->('persons', '4')(count : 576)0.3333333333333333
('buying', 'low')(count : 432) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('buying', 'low')(count : 432) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('buying', 'vhigh')(count : 432) ----------------->('lug_boot', 'small')(count : 576)0.3333333333333333
('buying', 'vhigh')(count : 432) ----------------->('lug_boot', 'small')(count : 576)0.3333333333333333
('buying', 'vhigh')(count : 432) ----------------->('lug_boot', 'med')(count : 576)0.3333333333333333
('buying', 'vhigh')(count : 432) ----------------->('lug_boot', 'med')(count : 576)0.3333333333333333
('buying', 'vhigh')(count : 432) ----------------->('lug_boot', 'big')(count : 576)0.3333333333333333
('buying', 'vhigh')(count : 432) ----------------->('lug_boot', 'big')(count : 576)0.3333333333333333
('buying', 'high')(count : 432) ----------------->('lug_boot', 'small')(count : 576)0.3333333333333333
('buying', 'high')(count : 432) ----------------->('lug_boot', 'small')(count : 576)0.3333333333333333
('buying', 'high')(count : 432) ----------------->('lug_boot', 'med')(count : 576)0.3333333333333333
('buying', 'high')(count : 432) ----------------->('lug_boot', 'med')(count : 576)0.3333333333333333
('buying', 'high')(count : 432) ----------------->('lug_boot', 'big')(count : 576)0.3333333333333333
('buying', 'high')(count : 432) ----------------->('lug_boot', 'big')(count : 576)0.3333333333333333
('buying', 'med')(count : 432) ----------------->('lug_boot', 'small')(count : 576)0.3333333333333333
('buying', 'med')(count : 432) ----------------->('lug_boot', 'small')(count : 576)0.3333333333333333
('buying', 'med')(count : 432) ----------------->('lug_boot', 'med')(count : 576)0.3333333333333333
('buying', 'med')(count : 432) ----------------->('lug_boot', 'med')(count : 576)0.3333333333333333
('buying', 'med')(count : 432) ----------------->('lug_boot', 'big')(count : 576)0.3333333333333333
('buying', 'med')(count : 432) ----------------->('lug_boot', 'big')(count : 576)0.3333333333333333
('buying', 'low')(count : 432) ----------------->('lug_boot', 'small')(count : 576)0.3333333333333333
('buying', 'low')(count : 432) ----------------->('lug_boot', 'small')(count : 576)0.3333333333333333
('buying', 'low')(count : 432) ----------------->('lug_boot', 'med')(count : 576)0.3333333333333333
('buying', 'low')(count : 432) ----------------->('lug_boot', 'med')(count : 576)0.3333333333333333
('buying', 'low')(count : 432) ----------------->('lug_boot', 'big')(count : 576)0.3333333333333333
('buying', 'low')(count : 432) ----------------->('lug_boot', 'big')(count : 576)0.3333333333333333
('buying', 'vhigh')(count : 432) ----------------->('safety', 'low')(count : 576)0.3333333333333333
('buying', 'vhigh')(count : 432) ----------------->('safety', 'low')(count : 576)0.3333333333333333
('buying', 'vhigh')(count : 432) ----------------->('safety', 'med')(count : 576)0.3333333333333333
('buying', 'vhigh')(count : 432) ----------------->('safety', 'med')(count : 576)0.3333333333333333
('buying', 'vhigh')(count : 432) ----------------->('safety', 'high')(count : 576)0.3333333333333333
('buying', 'vhigh')(count : 432) ----------------->('safety', 'high')(count : 576)0.3333333333333333
('buying', 'high')(count : 432) ----------------->('safety', 'low')(count : 576)0.3333333333333333
('buying', 'high')(count : 432) ----------------->('safety', 'low')(count : 576)0.3333333333333333
('buying', 'high')(count : 432) ----------------->('safety', 'med')(count : 576)0.3333333333333333
('buying', 'high')(count : 432) ----------------->('safety', 'med')(count : 576)0.3333333333333333
('buying', 'high')(count : 432) ----------------->('safety', 'high')(count : 576)0.3333333333333333
('buying', 'high')(count : 432) ----------------->('safety', 'high')(count : 576)0.3333333333333333
('buying', 'med')(count : 432) ----------------->('safety', 'low')(count : 576)0.3333333333333333
('buying', 'med')(count : 432) ----------------->('safety', 'low')(count : 576)0.3333333333333333
('buying', 'med')(count : 432) ----------------->('safety', 'med')(count : 576)0.3333333333333333
('buying', 'med')(count : 432) ----------------->('safety', 'med')(count : 576)0.3333333333333333
('buying', 'med')(count : 432) ----------------->('safety', 'high')(count : 576)0.3333333333333333
('buying', 'med')(count : 432) ----------------->('safety', 'high')(count : 576)0.3333333333333333
('buying', 'low')(count : 432) ----------------->('safety', 'low')(count : 576)0.3333333333333333
('buying', 'low')(count : 432) ----------------->('safety', 'low')(count : 576)0.3333333333333333
('buying', 'low')(count : 432) ----------------->('safety', 'med')(count : 576)0.3333333333333333
('buying', 'low')(count : 432) ----------------->('safety', 'med')(count : 576)0.3333333333333333
('buying', 'low')(count : 432) ----------------->('safety', 'high')(count : 576)0.3333333333333333
('buying', 'low')(count : 432) ----------------->('safety', 'high')(count : 576)0.3333333333333333
('buying', 'vhigh')(count : 432) ----------------->('class', 'unacc')(count : 1210)0.8333333333333334
('buying', 'vhigh')(count : 432) ----------------->('class', 'unacc')(count : 1210)0.8333333333333334
('buying', 'high')(count : 432) ----------------->('class', 'unacc')(count : 1210)0.75
('buying', 'high')(count : 432) ----------------->('class', 'unacc')(count : 1210)0.75
('buying', 'med')(count : 432) ----------------->('class', 'unacc')(count : 1210)0.6203703703703703
('buying', 'med')(count : 432) ----------------->('class', 'unacc')(count : 1210)0.6203703703703703
('buying', 'low')(count : 432) ----------------->('class', 'unacc')(count : 1210)0.5972222222222222
('buying', 'low')(count : 432) ----------------->('class', 'unacc')(count : 1210)0.5972222222222222
('doors', '2')(count : 432) ----------------->('persons', '2')(count : 576)0.3333333333333333
('doors', '2')(count : 432) ----------------->('persons', '2')(count : 576)0.3333333333333333
('doors', '2')(count : 432) ----------------->('persons', '4')(count : 576)0.3333333333333333
('doors', '2')(count : 432) ----------------->('persons', '4')(count : 576)0.3333333333333333
('doors', '2')(count : 432) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('doors', '2')(count : 432) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('doors', '3')(count : 432) ----------------->('persons', '2')(count : 576)0.3333333333333333
('doors', '3')(count : 432) ----------------->('persons', '2')(count : 576)0.3333333333333333
('doors', '3')(count : 432) ----------------->('persons', '4')(count : 576)0.3333333333333333
('doors', '3')(count : 432) ----------------->('persons', '4')(count : 576)0.3333333333333333
('doors', '3')(count : 432) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('doors', '3')(count : 432) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('doors', '4')(count : 432) ----------------->('persons', '2')(count : 576)0.3333333333333333
('doors', '4')(count : 432) ----------------->('persons', '2')(count : 576)0.3333333333333333
('doors', '4')(count : 432) ----------------->('persons', '4')(count : 576)0.3333333333333333
('doors', '4')(count : 432) ----------------->('persons', '4')(count : 576)0.3333333333333333
('doors', '4')(count : 432) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('doors', '4')(count : 432) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('doors', '5more')(count : 432) ----------------->('persons', '2')(count : 576)0.3333333333333333
('doors', '5more')(count : 432) ----------------->('persons', '2')(count : 576)0.3333333333333333
('doors', '5more')(count : 432) ----------------->('persons', '4')(count : 576)0.3333333333333333
('doors', '5more')(count : 432) ----------------->('persons', '4')(count : 576)0.3333333333333333
('doors', '5more')(count : 432) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('doors', '5more')(count : 432) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('doors', '2')(count : 432) ----------------->('lug_boot', 'small')(count : 576)0.3333333333333333
('doors', '2')(count : 432) ----------------->('lug_boot', 'small')(count : 576)0.3333333333333333
('doors', '2')(count : 432) ----------------->('lug_boot', 'med')(count : 576)0.3333333333333333
('doors', '2')(count : 432) ----------------->('lug_boot', 'med')(count : 576)0.3333333333333333
('doors', '2')(count : 432) ----------------->('lug_boot', 'big')(count : 576)0.3333333333333333
('doors', '2')(count : 432) ----------------->('lug_boot', 'big')(count : 576)0.3333333333333333
('doors', '3')(count : 432) ----------------->('lug_boot', 'small')(count : 576)0.3333333333333333
('doors', '3')(count : 432) ----------------->('lug_boot', 'small')(count : 576)0.3333333333333333
('doors', '3')(count : 432) ----------------->('lug_boot', 'med')(count : 576)0.3333333333333333
('doors', '3')(count : 432) ----------------->('lug_boot', 'med')(count : 576)0.3333333333333333
('doors', '3')(count : 432) ----------------->('lug_boot', 'big')(count : 576)0.3333333333333333
('doors', '3')(count : 432) ----------------->('lug_boot', 'big')(count : 576)0.3333333333333333
('doors', '4')(count : 432) ----------------->('lug_boot', 'small')(count : 576)0.3333333333333333
('doors', '4')(count : 432) ----------------->('lug_boot', 'small')(count : 576)0.3333333333333333
('doors', '4')(count : 432) ----------------->('lug_boot', 'med')(count : 576)0.3333333333333333
('doors', '4')(count : 432) ----------------->('lug_boot', 'med')(count : 576)0.3333333333333333
('doors', '4')(count : 432) ----------------->('lug_boot', 'big')(count : 576)0.3333333333333333
('doors', '4')(count : 432) ----------------->('lug_boot', 'big')(count : 576)0.3333333333333333
('doors', '5more')(count : 432) ----------------->('lug_boot', 'small')(count : 576)0.3333333333333333
('doors', '5more')(count : 432) ----------------->('lug_boot', 'small')(count : 576)0.3333333333333333
('doors', '5more')(count : 432) ----------------->('lug_boot', 'med')(count : 576)0.3333333333333333
('doors', '5more')(count : 432) ----------------->('lug_boot', 'med')(count : 576)0.3333333333333333
('doors', '5more')(count : 432) ----------------->('lug_boot', 'big')(count : 576)0.3333333333333333
('doors', '5more')(count : 432) ----------------->('lug_boot', 'big')(count : 576)0.3333333333333333
('doors', '2')(count : 432) ----------------->('safety', 'low')(count : 576)0.3333333333333333
('doors', '2')(count : 432) ----------------->('safety', 'low')(count : 576)0.3333333333333333
('doors', '2')(count : 432) ----------------->('safety', 'med')(count : 576)0.3333333333333333
('doors', '2')(count : 432) ----------------->('safety', 'med')(count : 576)0.3333333333333333
('doors', '2')(count : 432) ----------------->('safety', 'high')(count : 576)0.3333333333333333
('doors', '2')(count : 432) ----------------->('safety', 'high')(count : 576)0.3333333333333333
('doors', '3')(count : 432) ----------------->('safety', 'low')(count : 576)0.3333333333333333
('doors', '3')(count : 432) ----------------->('safety', 'low')(count : 576)0.3333333333333333
('doors', '3')(count : 432) ----------------->('safety', 'med')(count : 576)0.3333333333333333
('doors', '3')(count : 432) ----------------->('safety', 'med')(count : 576)0.3333333333333333
('doors', '3')(count : 432) ----------------->('safety', 'high')(count : 576)0.3333333333333333
('doors', '3')(count : 432) ----------------->('safety', 'high')(count : 576)0.3333333333333333
('doors', '4')(count : 432) ----------------->('safety', 'low')(count : 576)0.3333333333333333
('doors', '4')(count : 432) ----------------->('safety', 'low')(count : 576)0.3333333333333333
('doors', '4')(count : 432) ----------------->('safety', 'med')(count : 576)0.3333333333333333
('doors', '4')(count : 432) ----------------->('safety', 'med')(count : 576)0.3333333333333333
('doors', '4')(count : 432) ----------------->('safety', 'high')(count : 576)0.3333333333333333
('doors', '4')(count : 432) ----------------->('safety', 'high')(count : 576)0.3333333333333333
('doors', '5more')(count : 432) ----------------->('safety', 'low')(count : 576)0.3333333333333333
('doors', '5more')(count : 432) ----------------->('safety', 'low')(count : 576)0.3333333333333333
('doors', '5more')(count : 432) ----------------->('safety', 'med')(count : 576)0.3333333333333333
('doors', '5more')(count : 432) ----------------->('safety', 'med')(count : 576)0.3333333333333333
('doors', '5more')(count : 432) ----------------->('safety', 'high')(count : 576)0.3333333333333333
('doors', '5more')(count : 432) ----------------->('safety', 'high')(count : 576)0.3333333333333333
('doors', '2')(count : 432) ----------------->('class', 'unacc')(count : 1210)0.7546296296296297
('doors', '2')(count : 432) ----------------->('class', 'unacc')(count : 1210)0.7546296296296297
('doors', '3')(count : 432) ----------------->('class', 'unacc')(count : 1210)0.6944444444444444
('doors', '3')(count : 432) ----------------->('class', 'unacc')(count : 1210)0.6944444444444444
('doors', '4')(count : 432) ----------------->('class', 'unacc')(count : 1210)0.6759259259259259
('doors', '4')(count : 432) ----------------->('class', 'unacc')(count : 1210)0.6759259259259259
('doors', '5more')(count : 432) ----------------->('class', 'unacc')(count : 1210)0.6759259259259259
('doors', '5more')(count : 432) ----------------->('class', 'unacc')(count : 1210)0.6759259259259259
('lug_boot', 'small')(count : 576) ----------------->('persons', '2')(count : 576)0.3333333333333333
('persons', '2')(count : 576) ----------------->('lug_boot', 'small')(count : 576)0.3333333333333333
('persons', '2')(count : 576) ----------------->('lug_boot', 'small')(count : 576)0.3333333333333333
('lug_boot', 'small')(count : 576) ----------------->('persons', '2')(count : 576)0.3333333333333333
('persons', '2')(count : 576) ----------------->('lug_boot', 'med')(count : 576)0.3333333333333333
('lug_boot', 'med')(count : 576) ----------------->('persons', '2')(count : 576)0.3333333333333333
('lug_boot', 'med')(count : 576) ----------------->('persons', '2')(count : 576)0.3333333333333333
('persons', '2')(count : 576) ----------------->('lug_boot', 'med')(count : 576)0.3333333333333333
('persons', '2')(count : 576) ----------------->('lug_boot', 'big')(count : 576)0.3333333333333333
('lug_boot', 'big')(count : 576) ----------------->('persons', '2')(count : 576)0.3333333333333333
('lug_boot', 'big')(count : 576) ----------------->('persons', '2')(count : 576)0.3333333333333333
('persons', '2')(count : 576) ----------------->('lug_boot', 'big')(count : 576)0.3333333333333333
('lug_boot', 'small')(count : 576) ----------------->('persons', '4')(count : 576)0.3333333333333333
('persons', '4')(count : 576) ----------------->('lug_boot', 'small')(count : 576)0.3333333333333333
('persons', '4')(count : 576) ----------------->('lug_boot', 'small')(count : 576)0.3333333333333333
('lug_boot', 'small')(count : 576) ----------------->('persons', '4')(count : 576)0.3333333333333333
('persons', '4')(count : 576) ----------------->('lug_boot', 'med')(count : 576)0.3333333333333333
('lug_boot', 'med')(count : 576) ----------------->('persons', '4')(count : 576)0.3333333333333333
('lug_boot', 'med')(count : 576) ----------------->('persons', '4')(count : 576)0.3333333333333333
('persons', '4')(count : 576) ----------------->('lug_boot', 'med')(count : 576)0.3333333333333333
('persons', '4')(count : 576) ----------------->('lug_boot', 'big')(count : 576)0.3333333333333333
('lug_boot', 'big')(count : 576) ----------------->('persons', '4')(count : 576)0.3333333333333333
('lug_boot', 'big')(count : 576) ----------------->('persons', '4')(count : 576)0.3333333333333333
('persons', '4')(count : 576) ----------------->('lug_boot', 'big')(count : 576)0.3333333333333333
('lug_boot', 'small')(count : 576) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('persons', 'more')(count : 576) ----------------->('lug_boot', 'small')(count : 576)0.3333333333333333
('persons', 'more')(count : 576) ----------------->('lug_boot', 'small')(count : 576)0.3333333333333333
('lug_boot', 'small')(count : 576) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('lug_boot', 'med')(count : 576) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('persons', 'more')(count : 576) ----------------->('lug_boot', 'med')(count : 576)0.3333333333333333
('persons', 'more')(count : 576) ----------------->('lug_boot', 'med')(count : 576)0.3333333333333333
('lug_boot', 'med')(count : 576) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('lug_boot', 'big')(count : 576) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('persons', 'more')(count : 576) ----------------->('lug_boot', 'big')(count : 576)0.3333333333333333
('persons', 'more')(count : 576) ----------------->('lug_boot', 'big')(count : 576)0.3333333333333333
('lug_boot', 'big')(count : 576) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('persons', '2')(count : 576) ----------------->('safety', 'low')(count : 576)0.3333333333333333
('safety', 'low')(count : 576) ----------------->('persons', '2')(count : 576)0.3333333333333333
('safety', 'low')(count : 576) ----------------->('persons', '2')(count : 576)0.3333333333333333
('persons', '2')(count : 576) ----------------->('safety', 'low')(count : 576)0.3333333333333333
('persons', '2')(count : 576) ----------------->('safety', 'med')(count : 576)0.3333333333333333
('safety', 'med')(count : 576) ----------------->('persons', '2')(count : 576)0.3333333333333333
('safety', 'med')(count : 576) ----------------->('persons', '2')(count : 576)0.3333333333333333
('persons', '2')(count : 576) ----------------->('safety', 'med')(count : 576)0.3333333333333333
('safety', 'high')(count : 576) ----------------->('persons', '2')(count : 576)0.3333333333333333
('persons', '2')(count : 576) ----------------->('safety', 'high')(count : 576)0.3333333333333333
('persons', '2')(count : 576) ----------------->('safety', 'high')(count : 576)0.3333333333333333
('safety', 'high')(count : 576) ----------------->('persons', '2')(count : 576)0.3333333333333333
('persons', '4')(count : 576) ----------------->('safety', 'low')(count : 576)0.3333333333333333
('safety', 'low')(count : 576) ----------------->('persons', '4')(count : 576)0.3333333333333333
('safety', 'low')(count : 576) ----------------->('persons', '4')(count : 576)0.3333333333333333
('persons', '4')(count : 576) ----------------->('safety', 'low')(count : 576)0.3333333333333333
('safety', 'med')(count : 576) ----------------->('persons', '4')(count : 576)0.3333333333333333
('persons', '4')(count : 576) ----------------->('safety', 'med')(count : 576)0.3333333333333333
('persons', '4')(count : 576) ----------------->('safety', 'med')(count : 576)0.3333333333333333
('safety', 'med')(count : 576) ----------------->('persons', '4')(count : 576)0.3333333333333333
('safety', 'high')(count : 576) ----------------->('persons', '4')(count : 576)0.3333333333333333
('persons', '4')(count : 576) ----------------->('safety', 'high')(count : 576)0.3333333333333333
('persons', '4')(count : 576) ----------------->('safety', 'high')(count : 576)0.3333333333333333
('safety', 'high')(count : 576) ----------------->('persons', '4')(count : 576)0.3333333333333333
('safety', 'low')(count : 576) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('persons', 'more')(count : 576) ----------------->('safety', 'low')(count : 576)0.3333333333333333
('persons', 'more')(count : 576) ----------------->('safety', 'low')(count : 576)0.3333333333333333
('safety', 'low')(count : 576) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('safety', 'med')(count : 576) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('persons', 'more')(count : 576) ----------------->('safety', 'med')(count : 576)0.3333333333333333
('persons', 'more')(count : 576) ----------------->('safety', 'med')(count : 576)0.3333333333333333
('safety', 'med')(count : 576) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('safety', 'high')(count : 576) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('persons', 'more')(count : 576) ----------------->('safety', 'high')(count : 576)0.3333333333333333
('persons', 'more')(count : 576) ----------------->('safety', 'high')(count : 576)0.3333333333333333
('safety', 'high')(count : 576) ----------------->('persons', 'more')(count : 576)0.3333333333333333
('class', 'unacc')(count : 1210) ----------------->('persons', '2')(count : 576)0.47603305785123967
('persons', '2')(count : 576) ----------------->('class', 'unacc')(count : 1210)1.0
('persons', '2')(count : 576) ----------------->('class', 'unacc')(count : 1210)1.0
('class', 'unacc')(count : 1210) ----------------->('persons', '2')(count : 576)0.47603305785123967
('persons', '4')(count : 576) ----------------->('class', 'unacc')(count : 1210)0.5416666666666666
('persons', '4')(count : 576) ----------------->('class', 'unacc')(count : 1210)0.5416666666666666
('class', 'acc')(count : 384) ----------------->('persons', '4')(count : 576)0.515625
('persons', '4')(count : 576) ----------------->('class', 'acc')(count : 384)0.34375
('persons', '4')(count : 576) ----------------->('class', 'acc')(count : 384)0.34375
('class', 'acc')(count : 384) ----------------->('persons', '4')(count : 576)0.515625
